not_converge,unstable_loss,nan_loss,test_not_well,test_turn_bad,sc_accuracy,died_relu,vanish_gradient,explode_gradient,nan_gradient,large_weight,nan_weight,weight_change_little,decrease_acc,increase_loss,cons_mean_weight,cons_std_weight,nan_acc
False,False,0,0,0,False,False,0,False,False,0,False,0,0,0,0,0,0,2.6439476013183594,0.6173723340034485,1.1991761922836304,0.7005000114440918
False,False,0,0,0,False,False,0,False,False,0,False,0,0,0,0,0,0,0.9901847839355469,0.7355747222900391,0.9976757168769836,0.7354999780654907
False,False,0,0,0,False,False,0,False,False,0,False,0,0,0,0,0,0,0.8226489424705505,0.7770355343818665,0.8686583042144775,0.7839999794960022
False,False,0,0,0,False,False,0,False,False,0,False,0,0,0,0,0,0,0.7150484323501587,0.8107962012290955,0.812025785446167,0.7919999957084656
False,False,0,0,0,False,False,0,False,False,0,False,0,0,0,0,0,0,0.6519184708595276,0.8317966461181641,0.7732889652252197,0.8115000128746033
False,False,0,0,0,False,False,0,False,False,0,False,0,0,0,0,0,0,0.6003478765487671,0.8457969427108765,0.7345647215843201,0.809499979019165
False,False,0,0,0,False,False,0,False,False,0,False,0,0,0,0,0,0,0.5623810291290283,0.8552771210670471,0.701707661151886,0.8205000162124634
False,False,0,0,0,False,False,0,False,False,0,False,0,0,0,0,0,0,0.5286183953285217,0.8638572692871094,0.7125305533409119,0.8259999752044678
False,False,0,0,0,False,False,0,False,False,0,False,0,0,0,0,0,0,0.5009599924087524,0.8703973889350891,0.6655107736587524,0.8355000019073486
False,False,0,0,0,False,False,0,False,False,0,False,0,0,0,0,0,0,0.4804327189922333,0.8761374950408936,0.6599175930023193,0.8399999737739563
